frame_id,location_id,variant,frame_index,slot_id,status,expected_status,verification_status,label_source,notes
fci_day_0,fci,day,0,A1,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A2,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A3,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A4,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A5,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A6,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A7,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A8,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A9,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A10,occluded,occluded,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A11,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A12,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A13,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A14,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A15,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A16,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A17,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A18,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A19,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A20,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A21,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A22,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A23,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A24,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A25,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A26,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A27,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A28,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A29,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A30,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A31,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A32,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A33,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A34,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A35,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A36,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A37,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A38,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A39,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A40,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A41,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A42,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A43,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A44,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A45,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A46,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A47,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A48,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A49,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A50,occluded,occluded,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A51,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A52,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A53,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A54,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A55,available,available,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A56,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A57,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A58,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A59,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A60,occluded,occluded,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A61,occluded,occluded,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A62,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A63,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A64,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A65,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A66,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A67,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A68,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A69,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A70,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A71,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A72,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A73,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A74,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A75,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A76,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A77,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_0,fci,day,0,A78,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_1799,fci,day,1799,A1,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_1799,fci,day,1799,A2,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_1799,fci,day,1799,A3,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
fci_day_1799,fci,day,1799,A4,occupied,occupied,verified,manually_verified_by_user,manually checked against the matching review image
